date,elapsed time,height
2020-04-22 19:12:36,0,0
2020-04-23 00:54:54,20538,1
2020-04-23 00:55:15,20559,2
2020-04-23 00:55:15,20559,3
2020-04-23 00:55:15,20559,4
2020-04-23 00:55:15,20559,5
2020-04-23 00:55:15,20559,6
2020-04-23 00:55:15,20559,7
2020-04-23 00:55:15,20559,8
2020-04-23 00:55:15,20559,9
2020-04-23 00:55:15,20559,10
2020-04-23 00:55:15,20559,11
2020-04-23 00:55:15,20559,12
2020-04-23 00:55:15,20559,13
2020-04-23 00:55:15,20559,14
2020-04-23 00:55:15,20559,15
2020-04-23 00:55:15,20559,16
2020-04-23 00:55:15,20559,17
2020-04-23 00:55:15,20559,18
2020-04-23 00:55:15,20559,19
2020-04-23 00:55:15,20559,20
2020-04-23 00:55:15,20559,21
2020-04-23 00:55:15,20559,22
2020-04-23 00:55:15,20559,23
2020-04-23 00:55:15,20559,24
2020-04-23 00:55:15,20559,25
2020-04-23 00:55:15,20559,26
2020-04-23 00:55:15,20559,27
2020-04-23 00:55:15,20559,28
2020-04-23 00:55:15,20559,29
2020-04-23 00:55:15,20559,30
2020-04-23 00:55:15,20559,31
2020-04-23 00:55:15,20559,32
2020-04-23 00:55:15,20559,33
2020-04-23 00:55:15,20559,34
2020-04-23 00:55:15,20559,35
2020-04-23 00:55:15,20559,36
2020-04-23 00:55:15,20559,37
2020-04-23 00:55:15,20559,38
2020-04-23 00:55:15,20559,39
2020-04-23 00:55:15,20559,40
2020-04-23 00:55:15,20559,41
2020-04-23 00:55:15,20559,42
2020-04-23 00:55:15,20559,43
2020-04-23 00:55:15,20559,44
2020-04-23 00:55:15,20559,45
2020-04-23 00:55:15,20559,46
2020-04-23 00:55:15,20559,47
2020-04-23 00:55:15,20559,48
2020-04-23 00:55:15,20559,49
2020-04-23 00:55:15,20559,50
2020-04-23 00:55:15,20559,51
2020-04-23 00:55:15,20559,52
2020-04-23 00:55:15,20559,53
2020-04-23 00:55:15,20559,54
2020-04-23 00:55:15,20559,55
2020-04-23 00:55:15,20559,56
2020-04-23 00:55:15,20559,57
2020-04-23 00:55:15,20559,58
2020-04-23 00:55:15,20559,59
2020-04-23 00:55:15,20559,60
2020-04-23 00:55:15,20559,61
2020-04-23 00:55:15,20559,62
2020-04-23 00:55:15,20559,63
2020-04-23 00:55:15,20559,64
2020-04-23 00:55:15,20559,65
2020-04-23 00:55:15,20559,66
2020-04-23 00:55:15,20559,67
2020-04-23 00:55:15,20559,68
2020-04-23 00:55:15,20559,69
2020-04-23 00:55:15,20559,70
